"Name","Notes","Runtime","State","Tags","ID","model/num_parameters","eval/accuracy","eval/f1","eval/precision","eval/recall","eval/loss","train/loss","num_hidden_layers","hidden_size","hidden_act","hidden_dropout_prob","num_attention_heads","attention_probs_dropout_prob","intermediate_size","layer_norm_eps","max_position_embeddings","per_device_train_batch_size"
"malbert-classifier-E3087743FB","""Pretrained lwhkg1oh""","533","finished","pretrain-experiment, pretrained","h9dqbybe","2263538","0.8291445688347979","0.8285507271053073","0.8440761657216888","0.8291445688347979","0.4294487535953522","0.3198","8","176","silu","0.1","11","0.001","352","0.05","34","512"
"malbert-classifier-E3087743FB","""Pretrained 9qa8wo1z""","750","finished","pretrain-experiment, pretrained","sxqji16q","1524098","0.8298696575232392","0.826682416546921","0.8405771010896981","0.8298696575232392","0.3746950924396515","0.2802","10","128","gelu_new","0.25","2","0.1","256","0.025","130","64"
"malbert-classifier-E3087743FB","""Pretrained q90xlye6""","599","finished","pretrain-experiment, pretrained","83lxf3wx","1264802","0.8460690572210898","0.8436053035304427","0.8480420117222154","0.8460690572210898","0.3338514566421509","0.3461","10","96","gelu_new","0.001","3","0.01","384","0.025","130","128"
"malbert-classifier-E3087743FB","""Pretrained okeafkt4""","616","finished","pretrain-experiment, pretrained","xdk8nmxt","2883586","0.8412177821476228","0.8410721710376009","0.8409747834726997","0.8412177821476228","0.3663367629051209","0.382","7","176","relu","0.1","11","0.001","704","0.01","34","512"
"malbert-classifier-E3087743FB","""Pretrained a7anbmmp""","558","finished","pretrain-experiment, pretrained","zl5zion2","325346","0.8120266238237319","0.8075883969863701","0.8424514947965381","0.8120266238237319","0.3629988431930542","0.3077","9","48","gelu_new","0.1","3","0.001","192","0.01","130","128"
"malbert-classifier-E3087743FB","""Pretrained 86davq15""","523","finished","pretrain-experiment, pretrained","ssar0ftd","115490","0.8054099746407438","0.8064087944767896","0.8076777329003897","0.8054099746407438","0.44927623867988586","0.3371","10","32","gelu_new","0.1","1","0.1","32","0.01","258","64"
"malbert-classifier-E3087743FB","""Pretrained y960obdk""","312","finished","pretrain-experiment, pretrained","gx7udibk","395458","0.8478673849116507","0.8459580616173136","0.849420964137001","0.8478673849116507","0.35523369908332825","0.3212","6","64","gelu_new","0.001","2","0.01","256","0.01","130","256"
"malbert-classifier-E3087743FB","""Pretrained npm6yqj3""","407","finished","pretrain-experiment, pretrained","adi1puhm","123170","0.754885550272646","0.7480514182002237","0.7552852807612881","0.754885550272646","0.5267459750175476","0.3677","3","48","relu","0.1","12","0.001","96","0.025","34","512"
"malbert-classifier-E3087743FB","""Pretrained nkummfgi""","279","finished","pretrain-experiment, pretrained","09zv8mc5","42704","0.7286782928992065","0.7193476051873849","0.7536999327812135","0.7286782928992065","0.5726986527442932","0.4438","2","22","relu","0.1","11","0.01","88","0.01","66","512"
"malbert-classifier-E3087743FB","""Pretrained c976kqlz""","396","finished","pretrain-experiment, pretrained","6le2qmqt","42314","0.788022201861261","0.7831913121338883","0.7909250355831112","0.788022201861261","0.46889957785606384","0.4445","2","24","relu","0.1","12","0.001","48","0.01","34","1024"
