"Name","Commit","Runtime","GitHub","Group","Hostname","Notes","GPU Type","GPU Count","Tags","_name_or_path","architectures","attention_probs_dropout_prob","hidden_act","hidden_dropout_prob","hidden_size","intermediate_size","layer_norm_eps","max_position_embeddings","model/num_parameters","num_attention_heads","num_hidden_layers","output_dir","per_device_eval_batch_size","per_device_train_batch_size","run_name","save_total_limit","torch_dtype","eval/accuracy","eval/f1","eval/loss","eval/precision","eval/recall","eval/runtime","eval/samples_per_second","eval/steps_per_second","total_flos","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"malberta-4b201ACd15","ccd818939369a29723a47b206a90d9b23a72769d","32","https://github.com/Henry-Ash-Williams/malBERT/tree/ccd818939369a29723a47b206a90d9b23a72769d","","pa-88-242.staffvpn.susx.ac.uk","-","","","pretrain","","","0.1","gelu","0.1","8","32","1e-12","66","14021","2","2","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","256","256","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","","","","","7.047368049621582","","","5.1065","9571.812","37.404","93721007232","304","0.7342952489852905","8.223684210526316e-7","7.054","7.0976458223242505","21.6022","3596.993","14.073"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","2278","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained ktxqd1ob""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","silu","0.25","768","3072","0.01","34","79580162","12","11","./MalBERTA-pretrained-classifier","1024","512","./MalBERTA-pretrained-classifier","1","float32","0.8337809353151193","0.8310524396363831","0.37905123829841614","0.8314141122196836","0.8337809353151193","193.9005","2285.203","2.233","28721740937643264","3720","0.6608977317810059","2.8225806451612905e-7","0.3183","0.3406454974605191","2260.9975","842.183","1.645"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","1091","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained 44448hoo""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","relu","0.1","352","1408","0.01","18","12518882","11","8","./MalBERTA-pretrained-classifier","1024","512","./MalBERTA-pretrained-classifier","1","float32","0.7350182150301316","0.7287820055165014","0.6035088300704956","0.7748715733245412","0.7350182150301316","110.5277","8776.787","8.577","4732305367575552","7986","0.7055028080940247","5.447032306536439e-7","0.2983","0.3187010187330086","1084.2919","3770.63","7.365"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","988","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained 73egstvd""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","silu","0.25","352","2816","0.05","34","10529378","11","4","./MalBERTA-pretrained-classifier","256","128","./MalBERTA-pretrained-classifier","1","float32","0.810681858817824","0.8083014245665385","0.46262097358703613","0.8141553118718787","0.810681858817824","86.9845","4693.721","18.337","3782294832745728","15296","1.262318134307861","3.17076359832636e-7","0.2985","0.31035397267241854","980.6924","1996.367","15.597"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","860","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained qr6tmzg1""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","relu","0.1","384","1536","0.025","66","16641794","12","9","./MalBERTA-pretrained-classifier","512","256","./MalBERTA-pretrained-classifier","1","float32","0.7854634831460674","0.7794693065718076","0.6896737813949585","0.8017090211011902","0.7854634831460674","77.4587","2500.221","4.893","6109508011428096","3856","0.8156894445419312","7.391078838174274e-7","0.2982","0.32055723469287034","852.2033","1158.187","4.525"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","664","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained bnzdwmlr""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.1","gelu_new","0.01","256","1024","0.01","130","6749442","2","8","./MalBERTA-pretrained-classifier","256","128","./MalBERTA-pretrained-classifier","1","float32","0.817360718039945","0.8110831510018456","0.3736002445220947","0.8255110354216383","0.817360718039945","85.1768","1451.922","5.682","2172148429102080","3461","1.4182804822921753","8.956948858711355e-7","0.3308","0.3562851255252092","657.1062","674.122","5.267"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","315","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained 7goku3pl""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","gelu","0.001","32","64","0.075","514","84674","1","3","./MalBERTA-pretrained-classifier","512","256","./MalBERTA-pretrained-classifier","1","float32","0.6191110533497953","0.4734678274067526","0.665376603603363","0.3832984963798931","0.6191110533497953","55.9015","550.575","1.091","9482583914496","450","0.040158044546842575","0.000005666666666666667","0.6762","0.6783873240152994","309.9755","371.323","1.452"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","496","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained i9vv06nz""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.25","silu","0.01","320","320","0.1","34","3616962","5","5","./MalBERTA-pretrained-classifier","1024","512","./MalBERTA-pretrained-classifier","1","float32","0.82503668004914","0.8212379744226492","0.3646349906921386","0.8437653556592292","0.82503668004914","67.0858","7243.841","7.08","1120398830643840","3571","1.5502233505249023","0.000001008120974516942","0.3659","0.3805913153365025","490.2987","3728.615","7.283"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","437","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained lwbv2732""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.001","silu","0.001","256","1024","0.025","130","3590402","2","4","./MalBERTA-pretrained-classifier","256","128","./MalBERTA-pretrained-classifier","1","float32","0.8436740828774665","0.8401851705188003","0.33590689301490784","0.8469311070770412","0.8436740828774665","57.928","1975.452","7.734","1221721716349440","3853","3.236954927444458","7.007526602647289e-7","0.2973","0.32015052882535344","431.3767","1143.166","8.932"
"malbert-classifier-E3087743FB","abf6054250e0c8a1d8e6fe8f41b58839b94136f6","254","https://github.com/Henry-Ash-Williams/MalBERT/tree/abf6054250e0c8a1d8e6fe8f41b58839b94136f6","","vili","""Pretrained muihf6cq""","NVIDIA RTX A6000","8","classifier, uses-pretrained","./MalBERTA-pretrained-classifier","[""RobertaForMaskedLM""]","0.25","silu","0.1","16","256","0.1","514","77346","1","5","./MalBERTA-pretrained-classifier","2048","1024","./MalBERTA-pretrained-classifier","1","float32","0.5187280294153299","0.35434753726735335","0.6923247575759888","0.2690787685011114","0.5187280294153299","37.7163","656.188","0.345","18964064759808","125","0.09639671444892885","0.0000104","0.6924","0.6922771301269531","249.6317","510.745","0.501"
